,SpecParam Open RMSE,Our Method Open RMSE,SpecParam Closed RMSE,Our Method Closed RMSE,SpecParam Open RMSE SEM,Our Method Open RMSE SEM,SpecParam Closed RMSE SEM,Our Method Closed RMSE SEM,Open RMSE Holm-Bonferroni Adjusted Wilcoxon Signed Rank p-val,Closed RMSE Holm-Bonferroni Adjusted Wilcoxon Signed Rank p-val,Open RMSE T-test,Closed RMSE T-test,SpecParam Open R2,Our Method Open R2,SpecParam Closed R2,Our Method Closed R2,SpecParam Open R2 SEM,Our Method Open R2 SEM,SpecParam Closed R2 SEM,Our Method Closed R2 SEM,Open R-Squared Holm-Bonferroni Adjusted Wilcoxon Signed Rank p-val,Closed R-Squared Holm-Bonferroni Adjusted Wilcoxon Signed Rank p-val,Open R-Squared T-test,Closed R-Squared T-test
C3,0.09788916078327847,0.08687305814026311,0.10099830456030826,0.08969407232316359,0.003113152804984911,0.0034881348662610208,0.003012294260636002,0.0027734642581019337,2.9102788258893074e-11,4.5100357831812724e-11,0.00011666991327264267,8.328630270942013e-11,0.9705892206061263,0.975549644518574,0.9688478764983347,0.9742747085874242,0.0027101100036219386,0.0030668597365889156,0.0038018038899654606,0.003537021206221682,8.48509239346367e-11,2.9440617268648335e-10,0.038046662958164446,6.228382436137177e-05
C4,0.09487860634881229,0.08310787482772776,0.10114611025090046,0.08790478949541725,0.0031384837546368292,0.00293786955151286,0.004811155444157395,0.002803212705206888,1.3705366708833163e-10,1.001273655596726e-09,4.903462430492408e-08,0.0002592959187655011,0.9684901882176238,0.9746625418050382,0.9677140948812055,0.9762561913944044,0.005612257843031994,0.0051682258455152145,0.00564117010349256,0.00328836565252324,2.3995964813292505e-10,9.246837062391983e-09,6.20183516448424e-06,0.10050430659330901
Cz,0.08946153244917891,0.08342188230383384,0.09508354032246749,0.08975288973279986,0.002041285868563439,0.0029982660782669,0.002379114578567408,0.0021351228576466643,4.5100357831812724e-11,1.1259805784361562e-08,0.00525097154463036,4.848286682646516e-06,0.9824078610548118,0.9836585800678828,0.983835525896819,0.985661199966207,0.0011741462547866998,0.0022845541801663886,0.0009262621738737141,0.0007454405331493441,2.2580199277163295e-10,9.246837062391983e-09,0.33251689811918705,0.0002899544321089152
F3,0.09482307130885517,0.0769795142760847,0.09377831894637971,0.08259322380396335,0.003539381994786801,0.0029271068671163913,0.003246802045790432,0.0032146777091755984,2.5392356020822597e-11,1.4502030262696188e-11,2.4916142127744124e-08,1.1606530060424617e-12,0.9687812828736779,0.9789004733722617,0.9725491346441988,0.9778308947196341,0.0033314846448869615,0.0027127890344623125,0.002839932463263215,0.0026764478818575342,1.1246431169368393e-10,2.976963372671187e-11,1.8993069081211623e-05,1.8974918948086765e-09
F4,0.10000670771329742,0.07688777205826372,0.09698906115179323,0.0835209589523379,0.003951880219943702,0.0029346892387642786,0.0035828927876209553,0.0032777352569962233,5.36963507712703e-12,2.1798004118971626e-11,3.723949614090353e-12,9.003209641636303e-10,0.9654651239068559,0.9792403106067094,0.971367749250577,0.9779547624602701,0.0041410180713826175,0.003047280418064118,0.002725302630351767,0.0024581591441554074,1.5998762076797535e-11,6.970055301280148e-11,5.145702126292652e-08,1.3114656642148015e-05
F7,0.10564900892708995,0.07815625547728906,0.10494303106725734,0.08672641265136273,0.0044299202865363775,0.003488246997538075,0.005565083568557433,0.00395734996291485,2.3035587944460764e-12,2.9102788258893074e-11,6.484661054048852e-10,1.777671065203286e-07,0.9634970281587937,0.9795528088384997,0.9625845572243926,0.9740643786601451,0.003554461675030952,0.002419972094182347,0.005937566372340573,0.003985246087591623,3.0201184984177043e-12,2.2730197822239074e-10,1.3167369974142985e-06,0.009581606743031826
F8,0.10897094909471626,0.08033599895043685,0.10821310902972522,0.08907623845975432,0.0052908031848248795,0.0033494933000357135,0.005084135942524205,0.004099157960216844,8.144481779338438e-12,9.017301849100289e-12,1.7702179917984824e-09,1.5497427724726568e-10,0.960743750788758,0.979189579430763,0.9630152065112636,0.9738977102238034,0.003934463857504378,0.002284132594933407,0.0046788928242339324,0.003871482533980457,1.5998762076797535e-11,1.7602913500489892e-11,1.405924959173223e-07,2.254876767232847e-06
Fp1,0.11323879105132685,0.07791482077686064,0.09721464511102963,0.08227240819200785,0.005092127093609635,0.0032021916374008817,0.0043540015791448975,0.0037057456449129515,9.316442827062784e-12,7.599863972730648e-12,8.582796594626965e-11,1.0507149823147029e-10,0.9568977837233987,0.9793496610779989,0.9668262666934253,0.975519262838387,0.004081961796227334,0.0026422430726773236,0.004251600862012802,0.00337246904755981,2.6638483516433172e-11,2.288033173880268e-11,1.100470660395953e-07,4.845256338658643e-06
Fp2,0.1116893968319045,0.07610320712173801,0.09512198039471031,0.08150006238029689,0.005224424329148603,0.003047949534121146,0.004297298947374649,0.0034742360268642776,1.450459657807149e-12,2.9102788258893074e-11,4.3656577121592535e-11,6.988820956176396e-10,0.9571586330990077,0.9804754764300732,0.968741431781485,0.9764985187619226,0.004754159345312434,0.0026269081860627696,0.00380324893551322,0.003022312820976065,2.189941742846706e-12,2.1584594110449854e-10,3.751710416625735e-07,6.313440776736059e-05
Fz,0.0875769455728806,0.07382217275399812,0.09100161089584001,0.08444578035999495,0.002598698682112305,0.002049974819140939,0.002395303564002442,0.002733784655659409,1.2059873534723056e-12,7.233465033600107e-10,7.34037036644696e-09,2.403332370715652e-07,0.9788011214794436,0.9852651399165034,0.9816099394496457,0.9837911229699349,0.0018271993926510229,0.001317991395820687,0.0014390022174630523,0.001494797563149062,1.0261067621389985e-11,8.380297153951028e-10,3.7989538831182355e-05,9.105944690825569e-05
